Customer ID;Age;Gender;Item Purchased;Category;Purchase Amount (USD);Country;Location;Size;Color;Season;Year;Review Rating;Subscription Status;Shipping Type;Promo Code Used;Previous Purchases;Payment Method;Discount value
31;57;Female;Jewelry;Accessories;31;USA;North Carolina;L;Black;Winter;2023;4.7;Yes;Standard;Yes;nothing;Credit Card;50.0
32;33;Female;Dress;Clothing;79;USA;West Virginia;L;Brown;Winter;2023;4.7;Yes;Store Pickup;No;nothing;Debit Card;
33;36;Female;Jacket;Outerwear;67;USA;Kansas;M;Silver;Summer;2023;4.9;Yes;Free Shipping;No;37;Debit Card;0.0
34;54;Female;Pants;Clothing;38;USA;Colorado;L;Green;Summer;2023;3.3;Yes;Store Pickup;Yes;nothing;Cash;10.0
35;36;Female;T-shirt;Clothing;91;USA;North Dakota;L;Violet;Spring;2023;4.6;Yes;2-Day Shipping;No;nothing;Credit;0.0
36;54;F;Blouse;Clothing;33;USA;Massachusetts;M;Cyan;Summer;2023;4.0;Yes;2-Day Shipping;No;48;Credit Card;0.0
37;0;Female;T-shirt;Clothing;69;USA;Illinois;M;Maroon;Winter;2023;4.6;Yes;Free Shipping;No;nothing;Credit;
38;35;Female;Jeans;Clothing;45;USA;Indiana;S;Cyan;Summer;2023;2.8;Yes;Store Pickup;Yes;nothing;Cash;10.0
39;29;Male;Dress;Clothing;37;USA;Florida;M;Red;Winter;2023;3.7;Yes;2-Day Shipping;No;nothing;Debit Card;
40;70;Male;Pants;Clothing;60;USA;Arizona;S;Turquoise;Summer;2023;4.2;Yes;Express;No;18;Credit Card;0.0
41;69;Female;Handbag;Accessories;76;USA;Louisiana;L;Beige;Winter;2023;4.6;Yes;Next Day Air;No;nothing;Debit Card;0.0
42;67;Female;Scarf;Accessories;39;USA;Alaska;M;Orange;Spring;2023;4.5;Yes;Standard;No;nothing;Debit Card;0.0
43;20;Female;Coat;Outerwear;100;USA;Tennessee;M;Beige;Spring;2023;4.1;Yes;Free Shipping;Yes;nothing;Cash;10.0
44;25;Female;Scarf;Accessories;69;USA;Ohio;L;Lavender;Fall;2023;3.7;Yes;Store Pickup;Yes;nothing;Credit;10.0
45;0;Female;Hat;Accessories;53;USA;Kentucky;S;Silver;Summer;2023;4.6;Yes;Free Shipping;No;45;Cash;0.0
46;50;Female;Socks;Clothing;21;USA;Tennessee;XL;Indigo;Fall;2023;2.9;Yes;2-Day Shipping;Yes;nothing;Credit;10.0
47;57;Male;Shirt;Clothing;43;USA;California;L;White;Summer;2023;2.9;Yes;Store Pickup;No;nothing;Cash;
48;55;Female;Jewelry;Accessories;54;USA;Montana;M;Charcoal;Winter;2023;4.5;Yes;Free Shipping;Yes;36;Cash;10.0
49;42;Male;Shirt;Clothing;55;USA;Nevada;M;Orange;Summer;2023;2.7;Yes;Store Pickup;No;nothing;Cash;0.0
50;68;Male;Hoodie;Clothing;30;USA;New Jersey;S;Indigo;Spring;2023;4.6;Yes;Next Day Air;No;34;Debit Card;
51;49;Male;Blouse;Clothing;28;USA;Maryland;M;Red;Spring;2023;3.7;Yes;Store Pickup;No;nothing;Debit Card;0.0
52;59;Male;Skirt;Clothing;59;USA;Vermont;XL;Gray;Winter;2023;4.7;Yes;2-Day Shipping;Yes;nothing;Credit Card;10.0
53;42;Female;T-shirt;Clothing;20;USA;Alaska;M;Green;Summer;2023;2.6;Yes;Free Shipping;No;26;Credit Card;
54;29;Female;Skirt;Clothing;24;USA;Mississippi;S;Peach;Winter;2023;3.9;Yes;Next Day Air;No;35;Credit Card;
55;47;Female;Coat;Outerwear;94;USA;New Mexico;M;Brown;Summer;2023;4.2;Yes;Next Day Air;Yes;35;Debit Card;50.0
56;40;Female;Jacket;Outerwear;28;USA;South Carolina;M;Lavender;Winter;2023;3.0;Yes;2-Day Shipping;No;49;Credit Card;
57;41;Female;Backpack;Accessories;73;USA;Mississippi;XL;Brown;Summer;2023;4.7;Yes;Store Pickup;Yes;nothing;Credit Card;10.0
58;21;Female;Coat;Outerwear;64;USA;West Virginia;M;White;Summer;2023;4.4;Yes;Store Pickup;No;nothing;Debit Card;
59;69;Male;Hoodie;Clothing;54;USA;Missouri;M;Charcoal;Summer;2023;4.2;Yes;Free Shipping;No;nothing;Debit Card;0.0
60;63;Female;Belt;Accessories;79;USA;Louisiana;L;Yellow;Spring;2023;4.6;Yes;Standard;No;nothing;Debit Card;
61;50;Female;Sweater;Clothing;37;USA;Idaho;L;Brown;Summer;2023;4.0;Yes;Express;Yes;17;Cash;10.0
62;55;;Scarf;Accessories;68;USA;Texas;M;Orange;Winter;2023;4.7;Yes;Store Pickup;No;nothing;Credit Card;
63;30;Female;Sneakers;Footwear;21;USA;Mississippi;S;Magenta;Spring;2023;3.8;Yes;Free Shipping;No;nothing;Credit Card;
64;33;Female;Sunglasses;Accessories;79;USA;Arizona;L;Lavender;Winter;2023;2.7;Yes;2-Day Shipping;No;nothing;Credit Card;
65;65;F;Boots;Footwear;83;USA;Alabama;S;Green;Fall;2023;4.8;Yes;Standard;Yes;nothing;Debit Card;10.0
66;65;Male;Backpack;Accessories;36;USA;New Jersey;M;Purple;Spring;2023;4.8;Yes;2-Day Shipping;No;nothing;Debit Card;0.0
67;31;Male;Blouse;Clothing;94;USA;Pennsylvania;S;Magenta;Winter;2023;4.7;Yes;2-Day Shipping;No;3;Debit Card;
68;45;Male;Coat;Outerwear;33;USA;Connecticut;L;Gray;Winter;2023;4.4;Yes;Store Pickup;No;49;Debit Card;
69;0;Female;Handbag;Accessories;46;USA;Utah;L;Silver;Summer;2023;3.9;Yes;Next Day Air;Yes;21;Cash;20.0
70;48;Male;Belt;Accessories;70;USA;Tennessee;S;Cyan;Summer;2023;4.4;Yes;Express;No;nothing;Cash;
71;22;Male;Belt;Accessories;29;USA;Alabama;M;Magenta;Fall;2023;4.2;Yes;Express;No;nothing;Debit Card;
72;36;Male;Dress;Clothing;48;USA;Virginia;L;Gold;Summer;2023;2.9;Yes;Express;No;34;Bank Transfer;
73;18;Female;Dress;Clothing;26;USA;Georgia;M;Olive;Winter;2023;2.9;Yes;Store Pickup;No;nothing;Bank Transfer;0.0
74;48;Male;Pants;Clothing;85;USA;Hawaii;M;Teal;Spring;2023;2.7;Yes;Free Shipping;No;nothing;Bank Transfer;
75;49;F;Gloves;Accessories;58;USA;Indiana;L;Violet;Spring;2023;4.5;Yes;Express;No;nothing;Cash;
76;64;Male;Scarf;Accessories;85;USA;Utah;M;Blue;Summer;2023;2.7;Yes;Free Shipping;No;nothing;Credit Card;0.0
77;50;Female;Hat;Accessories;43;USA;Delaware;S;Teal;Summer;2023;4.2;Yes;Free Shipping;No;nothing;Debit Card;0.0
78;0;Female;Dress;Clothing;53;USA;Delaware;L;Gold;Summer;2023;3.3;Yes;Next Day Air;No;36;Debit Card;
79;50;Female;Skirt;Clothing;91;USA;Nebraska;M;Maroon;Spring;2023;4.7;Yes;Free Shipping;No;nothing;Debit Card;
80;38;Female;Jacket;Outerwear;96;USA;Iowa;M;Olive;Winter;2023;2.6;Yes;2-Day Shipping;Yes;nothing;Bank Transfer;10.0
81;19;Male;Sandals;Footwear;72;USA;New York;XL;Blue;Summer;2023;3.3;Yes;Store Pickup;No;nothing;Credit Card;
82;67;Male;Shoes;Footwear;96;USA;Virginia;L;Maroon;Summer;2023;2.6;Yes;Express;Yes;nothing;Credit Card;10.0
83;19;Female;Pants;Clothing;28;USA;Georgia;S;Olive;Spring;2023;4.0;Yes;2-Day Shipping;No;nothing;Credit Card;0.0
84;36;Male;Dress;Clothing;40;USA;Texas;M;Turquoise;Summer;2023;4.1;Yes;Standard;Yes;nothing;Bank Transfer;10.0
85;52;Female;Coat;Outerwear;32;USA;Arizona;S;Peach;Spring;2023;4.4;Yes;Standard;No;42;Bank Transfer;
86;53;Female;Sunglasses;Accessories;95;USA;New Mexico;M;Charcoal;Winter;2023;4.5;Yes;Next Day Air;Yes;nothing;Debit Card;10.0
87;24;Male;Hoodie;Clothing;41;USA;Nevada;L;Pink;Spring;2023;3.7;Yes;2-Day Shipping;No;nothing;Cash;
88;52;Female;Shoes;Footwear;53;USA;Ohio;M;Green;Fall;2023;3.7;Yes;2-Day Shipping;Yes;nothing;Debit Card;10.0
89;33;Male;T-shirt;Clothing;47;USA;Wyoming;M;Orange;Fall;2023;3.5;Yes;Free Shipping;No;35;Credit Card;
90;47;Male;Jacket;Outerwear;83;USA;California;XL;Pink;Fall;2023;3.6;Yes;Next Day Air;No;15;Cash;0.0
91;0;Female;Hat;Accessories;48;USA;South Carolina;L;Violet;Summer;2023;2.9;Yes;Express;No;29;Credit Card;
92;44;M;Scarf;Accessories;99;USA;South Carolina;S;Green;Winter;2023;4.6;Yes;Standard;No;nothing;Credit Card;0.0
93;61;Male;Jacket;Outerwear;87;USA;Texas;M;Olive;Winter;2023;4.4;Yes;2-Day Shipping;No;nothing;Debit Card;
94;37;Female;Sweater;Clothing;62;USA;Florida;M;Purple;Fall;2023;4.5;Yes;Standard;No;46;Credit Card;0.0
95;58;Female;Skirt;Clothing;76;USA;Nevada;S;Silver;Spring;2023;4.6;Yes;Free Shipping;Yes;28;Credit Card;10.0
96;37;Female;Sneakers;Footwear;100;USA;Missouri;L;Pink;Fall;2023;3.8;Yes;Free Shipping;No;nothing;Debit;
97;32;Female;Gloves;Accessories;73;USA;Delaware;S;Gold;Spring;2023;3.6;Yes;Express;No;43;Debit Card;
98;21;Male;Shoes;Footwear;92;USA;Virginia;M;Teal;Winter;2023;4.8;Yes;Store Pickup;Yes;nothing;Cash;10.0
99;20;Female;Jeans;Clothing;67;USA;New York;XL;Teal;Spring;2023;2.6;Yes;Next Day Air;No;20;Bank Transfer;0.0
100;26;Male;Hoodie;Clothing;40;USA;Missouri;XL;Indigo;Summer;2023;3.7;Yes;Express;No;nothing;Debit Card;0.0
101;62;Female;Sunglasses;Accessories;98;USA;South Dakota;M;Maroon;Fall;2023;2.7;Yes;Express;No;nothing;Cash;
102;27;F;Coat;Outerwear;85;USA;North Dakota;XL;White;Spring;2023;4.6;Yes;Express;Yes;nothing;Credit Card;50.0
103;0;Male;Socks;Clothing;67;USA;Oklahoma;L;Violet;Winter;2023;4.8;Yes;Next Day Air;No;35;Credit Card;0.0
104;54;Female;Boots;Footwear;89;USA;West Virginia;L;Red;Winter;2023;4.0;Yes;Next Day Air;No;nothing;Debit Card;0.0
105;55;Female;Sunglasses;Accessories;24;USA;New Hampshire;L;Pink;Spring;2023;4.4;Yes;2-Day Shipping;No;1;Debit;0.0
106;69;Female;Backpack;Accessories;96;USA;New York;M;Charcoal;Fall;2023;3.6;Yes;Next Day Air;No;nothing;Bank Transfer;
107;64;Female;Jacket;Outerwear;35;USA;Minnesota;L;White;Summer;2023;3.7;Yes;Standard;No;nothing;Credit Card;
108;28;Female;Sneakers;Footwear;67;USA;Maryland;L;Olive;Winter;2023;3.1;Yes;Next Day Air;Yes;nothing;Cash;50.0
109;70;Female;Socks;Clothing;79;USA;Montana;L;Purple;Spring;2023;3.4;Yes;Next Day Air;Yes;nothing;Bank Transfer;10.0
110;58;Female;T-shirt;Clothing;85;USA;Alabama;M;Violet;Spring;2023;2.6;Yes;Next Day Air;No;nothing;Bank Transfer;
111;56;Female;Backpack;Accessories;26;USA;New York;M;Black;Summer;2023;4.0;Yes;Standard;No;26;Debit Card;0.0
112;0;Female;Belt;Accessories;75;USA;Massachusetts;L;Purple;Summer;2023;5.0;Yes;Free Shipping;No;nothing;Credit Card;0.0
113;37;Female;Gloves;Accessories;65;USA;Florida;M;Red;Spring;2023;4.3;Yes;Free Shipping;No;nothing;Credit;
114;44;Female;Hat;Accessories;54;USA;New Jersey;L;Maroon;Winter;2023;3.1;Yes;Next Day Air;No;20;Cash;
115;70;Female;Coat;Outerwear;95;USA;Massachusetts;S;Blue;Summer;2023;3.7;Yes;Store Pickup;Yes;nothing;Cash;10.0
116;53;Female;Skirt;Clothing;94;USA;Wyoming;M;Gray;Spring;2023;3.8;Yes;Standard;No;nothing;Debit Card;
117;55;Male;Shoes;Footwear;86;USA;Virginia;S;Blue;Spring;2023;3.4;Yes;Free Shipping;Yes;nothing;Debit Card;20.0
118;50;Female;Sandals;Footwear;32;USA;South Dakota;L;Yellow;Summer;2023;4.6;Yes;Express;No;29;Cash;
119;50;M;Sweater;Clothing;45;USA;Kentucky;L;Orange;Fall;2023;4.8;Yes;2-Day Shipping;No;nothing;Cash;
120;38;Female;Coat;Outerwear;76;USA;Wyoming;M;Orange;Fall;2023;4.3;Yes;Express;No;nothing;Cash;0.0
121;64;Female;Hat;Accessories;84;USA;West Virginia;L;Red;Summer;2023;4.0;Yes;Express;No;nothing;Bank Transfer;0.0
122;19;Female;Shorts;Clothing;72;USA;Virginia;M;Olive;Winter;2023;4.2;Yes;Standard;Yes;nothing;Cash;10.0
123;40;Female;Backpack;Accessories;40;USA;Washington;L;Brown;Spring;2023;4.8;Yes;2-Day Shipping;No;nothing;Cash;
124;57;Male;Sweater;Clothing;89;USA;Louisiana;L;Brown;Fall;2023;3.1;Yes;Free Shipping;No;nothing;Cash;0.0
125;44;Male;Sweater;Clothing;86;USA;Nevada;M;Gray;Spring;2023;3.1;Yes;Next Day Air;Yes;nothing;Cash;50.0
126;49;Male;Shorts;Clothing;54;USA;California;M;Indigo;Winter;2023;3.6;Yes;Next Day Air;Yes;45;Debit Card;10.0
127;43;Female;Shorts;Clothing;36;USA;Mississippi;L;Pink;Spring;2023;3.9;Yes;Store Pickup;No;nothing;Cash;0.0
128;24;Female;Sweater;Clothing;89;USA;Mississippi;M;Gray;Winter;2023;4.8;Yes;Next Day Air;No;26;Credit Card;
129;20;Male;Scarf;Accessories;32;USA;California;M;Gold;Spring;2023;4.7;Yes;Standard;No;nothing;Credit Card;
130;24;Female;Dress;Clothing;67;USA;Pennsylvania;XL;Olive;Summer;2023;4.2;Yes;2-Day Shipping;No;49;Credit;
131;44;Female;Scarf;Accessories;39;USA;Kentucky;L;Violet;Fall;2023;3.7;Yes;Next Day Air;Yes;13;Debit;10.0
132;28;Female;Skirt;Clothing;29;USA;Maine;L;Indigo;Summer;2023;3.9;Yes;Standard;No;nothing;Credit Card;
133;30;Male;Backpack;Accessories;58;USA;New Mexico;M;Orange;Fall;2023;4.7;Yes;2-Day Shipping;No;nothing;Debit;0.0
134;52;Female;Sweater;Clothing;65;USA;Montana;M;Violet;Winter;2023;2.5;Yes;Next Day Air;No;25;Debit Card;0.0
135;43;Male;Hat;Accessories;94;USA;Texas;L;Gray;Fall;2023;4.9;Yes;Store Pickup;Yes;nothing;Cash;50.0
136;43;Male;Sandals;Footwear;81;USA;Kansas;M;Purple;Fall;2023;4.1;Yes;Express;No;12;Cash;
137;39;Female;Blouse;Clothing;86;USA;South Carolina;M;White;Winter;2023;3.3;Yes;Free Shipping;No;4;Debit Card;0.0
138;68;;Sneakers;Footwear;43;USA;Colorado;M;Turquoise;Spring;2023;4.7;Yes;Free Shipping;Yes;nothing;Debit;50.0
139;68;Male;Skirt;Clothing;29;USA;Georgia;M;Maroon;Winter;2023;4.4;Yes;Store Pickup;No;42;Bank Transfer;0.0
140;49;Male;Coat;Outerwear;95;USA;Florida;M;White;Fall;2023;3.8;Yes;Store Pickup;No;nothing;Debit Card;
141;63;M;Shirt;Clothing;28;USA;North Carolina;L;Yellow;Fall;2023;3.9;Yes;2-Day Shipping;No;nothing;Credit Card;
142;56;Male;Gloves;Accessories;46;USA;Virginia;M;Turquoise;Fall;2023;4.9;Yes;Free Shipping;No;45;Cash;
143;37;Female;Jacket;Outerwear;58;USA;Nebraska;L;Violet;Fall;2023;3.1;Yes;Free Shipping;No;nothing;Credit Card;
144;30;Female;Coat;Outerwear;48;USA;Missouri;M;Beige;Fall;2023;2.7;Yes;Store Pickup;Yes;nothing;Cash;10.0
145;19;;Shoes;Footwear;43;USA;New Jersey;M;Silver;Fall;2023;3.2;Yes;Express;No;nothing;Cash;
146;24;Female;Jewelry;Accessories;95;USA;Missouri;M;Teal;Fall;2023;4.5;Yes;Standard;Yes;44;Debit Card;10.0
147;52;Male;Skirt;Clothing;30;USA;Colorado;S;Black;Fall;2023;4.0;Yes;Standard;Yes;nothing;Debit Card;50.0
148;63;Female;Shoes;Footwear;64;USA;Idaho;M;Purple;Summer;2023;3.5;Yes;2-Day Shipping;No;nothing;Bank Transfer;
149;37;Male;Gloves;Accessories;90;USA;Wyoming;M;Gray;Fall;2023;2.6;Yes;Store Pickup;No;nothing;Debit Card;0.0
150;38;Female;Pants;Clothing;76;USA;Delaware;M;White;Summer;2023;3.2;Yes;Free Shipping;No;nothing;Cash;
151;35;Female;Boots;Footwear;96;USA;California;L;Cyan;Fall;2023;4.9;Yes;Standard;No;nothing;Debit Card;
152;28;;Sunglasses;Accessories;47;USA;North Dakota;L;Turquoise;Fall;2023;4.5;Yes;Next Day Air;No;3;Debit Card;0.0
153;30;Male;Shirt;Clothing;85;USA;South Carolina;S;Brown;Summer;2023;4.3;Yes;Express;No;nothing;Debit Card;
154;69;Female;Hoodie;Clothing;55;USA;North Carolina;M;Maroon;Winter;2023;3.2;Yes;Standard;Yes;nothing;Debit Card;20.0
155;41;Male;Dress;Clothing;98;USA;Oklahoma;M;Charcoal;Fall;2023;3.6;Yes;Next Day Air;No;nothing;Debit Card;0.0
156;63;Female;Socks;Clothing;77;USA;Maine;S;Olive;Spring;2023;4.3;Yes;Free Shipping;No;nothing;Bank Transfer;
157;35;;Shorts;Clothing;26;USA;Missouri;M;Lavender;Fall;2023;4.0;Yes;Standard;No;nothing;Debit Card;
158;36;Male;Hat;Accessories;68;USA;Vermont;S;Yellow;Fall;2023;3.0;Yes;Next Day Air;No;nothing;Bank Transfer;0.0
159;25;Female;Shirt;Clothing;73;USA;Connecticut;XL;Teal;Fall;2023;4.1;Yes;Standard;No;nothing;Bank Transfer;
160;58;Female;Gloves;Accessories;27;USA;New Hampshire;M;Charcoal;Fall;2023;3.8;Yes;Store Pickup;No;39;Bank Transfer;
161;0;Male;Gloves;Accessories;23;USA;Texas;M;Orange;Summer;2023;4.6;Yes;Free Shipping;Yes;nothing;Debit Card;50.0
162;65;Female;Backpack;Accessories;49;USA;North Dakota;M;Olive;Fall;2023;3.0;Yes;Express;No;29;Debit Card;0.0
163;0;Male;Sunglasses;Accessories;74;USA;California;M;Turquoise;Summer;2023;3.0;Yes;Store Pickup;No;nothing;Cash;
164;54;Male;Skirt;Clothing;67;USA;Virginia;M;Purple;Summer;2023;3.4;Yes;Standard;No;nothing;Debit Card;
165;59;Male;Handbag;Accessories;65;USA;Delaware;S;Purple;Spring;2023;2.6;Yes;Free Shipping;No;nothing;Credit Card;
166;42;Female;Handbag;Accessories;60;USA;Kentucky;S;Yellow;Winter;2023;2.8;Yes;Store Pickup;No;nothing;Cash;0.0
167;46;Female;Sneakers;Footwear;31;USA;Delaware;XL;Indigo;Fall;2023;4.0;Yes;Store Pickup;No;nothing;Cash;0.0
168;33;Female;Gloves;Accessories;27;USA;Arkansas;M;Green;Fall;2023;4.0;Yes;Express;Yes;14;Credit Card;20.0
169;34;;Shoes;Footwear;80;USA;Louisiana;M;Magenta;Summer;2023;3.0;Yes;Express;No;nothing;Cash;
170;0;Male;Jacket;Outerwear;30;USA;Nevada;S;Gold;Summer;2023;3.3;Yes;Standard;No;nothing;Cash;0.0
171;52;Male;Shirt;Clothing;25;USA;Wyoming;M;Maroon;Fall;2023;2.6;Yes;Store Pickup;No;nothing;Debit Card;
172;29;Female;Shorts;Clothing;35;USA;Virginia;M;Blue;Summer;2023;3.6;Yes;Store Pickup;No;4;Credit Card;0.0
173;54;Male;Jewelry;Accessories;67;USA;Nebraska;M;Violet;Summer;2023;3.9;Yes;Next Day Air;No;nothing;Credit Card;0.0
174;25;Male;Hat;Accessories;46;USA;Hawaii;M;Turquoise;Fall;2023;3.4;Yes;Standard;No;nothing;Cash;0.0
175;41;Male;Shoes;Footwear;35;USA;Vermont;L;Brown;Winter;2023;3.5;Yes;Express;No;37;Debit Card;
176;53;Female;Coat;Outerwear;86;USA;Oklahoma;L;Violet;Fall;2023;2.8;Yes;Next Day Air;Yes;nothing;Bank Transfer;10.0
177;53;Female;Backpack;Accessories;81;USA;New Hampshire;L;Black;Spring;2023;2.7;Yes;Next Day Air;Yes;30;Credit Card;10.0
178;21;Female;Hoodie;Clothing;42;USA;Kansas;L;Magenta;Fall;2023;3.7;Yes;Next Day Air;No;47;Bank Transfer;0.0
179;61;Male;Skirt;Clothing;43;USA;Idaho;L;Lavender;Fall;2023;4.3;Yes;2-Day Shipping;No;nothing;Cash;
180;64;Female;Boots;Footwear;31;USA;Illinois;M;Violet;Fall;2023;4.9;Yes;Store Pickup;Yes;nothing;Bank Transfer;50.0
181;51;Female;Sandals;Footwear;81;USA;South Dakota;L;Green;Fall;2023;3.3;Yes;Store Pickup;No;nothing;Debit Card;0.0
182;32;Female;Pants;Clothing;61;USA;Massachusetts;M;Beige;Summer;2023;4.7;Yes;Next Day Air;Yes;nothing;Bank Transfer;10.0
183;38;Female;Gloves;Accessories;96;USA;Alabama;XL;Purple;Summer;2023;2.8;Yes;Store Pickup;No;10;Debit Card;0.0
184;58;Male;Skirt;Clothing;29;USA;Ohio;XL;Beige;Spring;2023;3.6;Yes;2-Day Shipping;No;nothing;Credit Card;
185;32;Male;Sneakers;Footwear;33;USA;Hawaii;L;Cyan;Spring;2023;3.0;Yes;Express;No;nothing;Cash;
186;46;Female;T-shirt;Clothing;32;USA;Wisconsin;XL;Silver;Summer;2023;4.5;Yes;Store Pickup;No;34;Bank Transfer;
187;0;Female;Backpack;Accessories;56;USA;Minnesota;S;Lavender;Summer;2023;2.9;Yes;Standard;No;nothing;Debit Card;0.0
188;19;Male;Shoes;Footwear;94;USA;Georgia;S;Purple;Spring;2023;3.3;Yes;Store Pickup;No;nothing;Bank Transfer;0.0
189;50;Female;Hoodie;Clothing;53;USA;Arkansas;M;Pink;Spring;2023;3.1;Yes;Express;Yes;nothing;Bank Transfer;10.0
190;36;Female;Blouse;Clothing;82;USA;West Virginia;M;Maroon;Fall;2023;4.4;Yes;Next Day Air;Yes;nothing;Credit Card;50.0
191;65;Female;Coat;Outerwear;70;USA;Indiana;XL;Beige;Fall;2023;3.0;Yes;Free Shipping;No;nothing;Debit Card;0.0
192;64;Female;Hat;Accessories;76;USA;Utah;M;Gray;Fall;2023;3.9;Yes;Free Shipping;No;29;Cash;0.0
193;46;Female;Shoes;Footwear;29;USA;Nebraska;L;Turquoise;Summer;2023;2.9;Yes;Express;No;nothing;Credit;0.0
194;36;Male;Belt;Accessories;100;USA;North Dakota;S;Silver;Fall;2023;3.0;Yes;Standard;Yes;nothing;Debit Card;10.0
195;51;Female;Backpack;Accessories;94;USA;Missouri;M;Olive;Spring;2023;3.1;Yes;Express;Yes;nothing;Debit Card;10.0
196;51;Female;Jacket;Outerwear;25;USA;New York;M;Magenta;Fall;2023;4.3;Yes;Free Shipping;Yes;nothing;Credit Card;10.0
197;38;Male;Boots;Footwear;88;USA;Washington;M;Lavender;Summer;2023;3.9;Yes;Next Day Air;No;41;Credit Card;0.0
198;59;Male;Scarf;Accessories;78;USA;South Carolina;M;Black;Fall;2023;3.2;Yes;2-Day Shipping;No;nothing;Credit Card;
199;57;;Jewelry;Accessories;45;USA;Utah;M;Turquoise;Winter;2023;4.8;Yes;Standard;No;nothing;Credit Card;
